SCATS Number,Location,NB_LATITUDE,NB_LONGITUDE
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.86703,145.09159
2000,WARRIGAL_RD N of TOORAK_RD,-37.8516827,145.0943457
2200,UNION_RD N of MAROONDAH_HWY,-37.81631,145.09812
2820,EARL_ST SE of PRINCESS_ST,-37.79477,145.03077
2825,BURKE_RD S of EASTERN_FWY,-37.78661,145.06202
2827,BULLEEN_RD N of THOMPSONS_RD,-37.78093,145.07733
2846,S.E.ARTERIAL N OF HIGH_ST,-37.8612671,145.058038
3001,HIGH_ST NE of BARKERS_RD,-37.81441,145.02243
3002,DENMARK_ST N of BARKERS_RD,-37.81489,145.02663
3120,BURKE_RD N of CANTERBURY_RD,-37.82264,145.05734
3122,CANTERBURY_RD E of STANHOPE_GV,-37.82379,145.06466
3126,CANTERBURY_RD E of WARRIGAL_RD,-37.82778,145.09885
3127,BALWYN_RD N of CANTERBURY_RD,-37.82506,145.078
3180,DONCASTER_RD E of BALWYN_RD,-37.79611,145.08372
3662,PRINCESS_ST N of HIGH_ST,-37.80876,145.02757
3682,WARRIGAL_RD N OF RIVERSDALE_RD,-37.83695,145.09699
3685,WARRIGAL_RD N of HIGHBURY_RD,-37.85467,145.09384
3804,TRAFALGAR_RD N of RIVERSDALE_RD,-37.83331,145.06247
3812,TRAFALGAR_RD NE of CAMBERWELL_RD,-37.83738,145.06119
4030,BURKE_RD S of DONCASTER_RD,-37.79561,145.06251
4032,BURKE_RD N of HARP_RD,-37.80202,145.06127
4034,BURKE_RD N OF WHITEHORSE_RD,-37.81147,145.05946
4035,BURKE_RD N of MONT ALBERT_RD,-37.8172654,145.0583603
4040,BURKE_RD N of RIVERSDALE_RD,-37.83256,145.05545
4043,BURKE_RD N of TOORAK_RD,-37.84683,145.05275
4051,DONCASTER_RD E of BULLEEN_RD,-37.79419,145.0696
4057,BALWYN_RD N OF BELMORE_RD,-37.80431,145.08197
4063,BALWYN_RD N OF WHITEHORSE_RD,-37.81404,145.0801
4262,BRIDGE_RD SW of BURWOOD_RD,-37.82155,145.01503
4263,POWER_ST N of BURWOOD_RD,-37.8228462,145.0251292
4264,GLENFERRIE_RD N of BURWOOD_RD,-37.82389,145.03409
4266,AUBURN_RD N of BURWOOD_RD,0.0,0.0
4270,GLENFERRIE_RD N of RIVERSDALE_RD,-37.82951,145.03304
4272,RIVERSDALE_RD E of TOORONGA_RD,-37.83186,145.04668
4273,TOORONGA_RD N of TOORAK_RD,-37.84632,145.04378
4321,HIGH_ST NE OF HARP_ST,-37.800776,145.0494611
4324,COTHAM_RD E OF GLENFERRIE_RD,-37.809274,145.037306
4335,HIGH_ST NE of CHARLES_ST,-37.80624,145.03518
4812,SWAN_ST NE of MADDEN_GV,-37.82859,145.01644
4821,WALMER_ST N OF VICTORIA_ST,-37.81285,145.00849
